epoch,acc,loss,lr,val_acc,val_loss
0,0.38663240854271336,2.5607258960678836,0.001,0.29693669602189277,4.171414818733367
1,0.5038115864126751,2.0114448410607007,0.001,0.3973270480270165,2.600587609442368
2,0.5456534787227983,1.831707467633948,0.001,0.4238784231618775,2.474441201925254
3,0.56863565975455,1.7360670414991262,0.001,0.5158352925924686,2.0720558042062738
4,0.5834408253837444,1.6739688564494997,0.001,0.517764050423477,2.018888882793224
5,0.5943299059937087,1.6213530973343864,0.001,0.4268466840618642,3.2439733505074466
6,0.6025069214031173,1.5794905954044378,0.001,0.46177770686562986,2.208830771120194
7,0.6092431623642187,1.5450598858404923,0.001,0.4536750642631508,2.3155199394783246
8,0.6148542473096076,1.515500721688458,0.001,0.4958635216618109,2.1268781235131042
9,0.6199343487511557,1.4897777250110198,0.001,0.571993418437928,1.7478920720969684
10,0.6237717332607723,1.4676728112883521,0.001,0.4941001838177629,2.456358238876416
11,0.6278372186093311,1.447257388233009,0.001,0.5788446442047562,1.7397435118783857
12,0.6312401175359675,1.4290308118412842,0.001,0.5016620303416118,2.386528105355865
13,0.6343466649562748,1.412309527137501,0.001,0.47698606752600614,2.3690941909671706
14,0.6373028323701203,1.3965474535778784,0.001,0.5659081165449528,1.8496205138956565
15,0.6399789761867112,1.3823181208251836,0.001,0.572378582707676,1.746429128537037
16,0.6425520909202911,1.3687912041251542,0.001,0.5647663271517165,1.850552695790744
17,0.6446957817192686,1.3563493094713017,0.001,0.562915874642536,1.8868254915265643
18,0.6643010251974281,1.2658481767661713,0.0003162278,0.6133655429243233,1.531859230505899
19,0.6690010129795217,1.2436927688717943,0.0003162278,0.6133449877781997,1.5545647551488828
20,0.6714190126016703,1.23145996158259,0.0003162278,0.6137379825789987,1.5591992545342241
21,0.6733741160894231,1.2215007604618935,0.0003162278,0.6144730737367585,1.5426947107953017
22,0.6753799993607247,1.2125573160899636,0.0003162278,0.609261854934086,1.5862025147001555
23,0.6770637330408623,1.2044125430221158,0.0003162278,0.6116873621100488,1.5709795251578154
24,0.678810165880791,1.196655829264931,0.0003162278,0.6101755800907875,1.5664411433276024
25,0.6890890726427246,1.1540807662579402,0.000100000005,0.613870122804296,1.5809032410490398
26,0.6911005074067513,1.1458761784645408,0.000100000005,0.6129608023109038,1.585169125329186
27,0.6921038572398224,1.1412726711750176,0.000100000005,0.6130728768016884,1.593156278657887
28,0.6930020553548414,1.137509278131411,0.000100000005,0.6123916205466978,1.5958239387199487
29,0.6939116830094633,1.1338867744663077,0.000100000005,0.6112013797404907,1.6041027087995074
